ID,Name,Age,Occupation,Hometown,ElimWeek,Season,Season Text,BIP,BP,ELIMINATION_1,ELIMINATION_2,ELIMINATION_3,ELIMINATION_4,ELIMINATION_5,ELIMINATION_6,ELIMINATION_7,ELIMINATION_8,ELIMINATION_9,ELIMINATION_10,DATES_1,DATES_2,DATES_3,DATES_4,DATES_5,DATES_6,DATES_7,DATES_8,DATES_9,DATES_10,MAIN_CHAR
01_RYAN_S,Ryan Sutter,29,Firefighter,"Vail, Colorado",0,1,01,A_1,,,,,,,W,,,,,,D14,D1,D1,D1,D1,,,,,
01_CHARLIE_M,Charlie Maher,28,Financial Analyst,"Hermosa Beach, California",6.0,1,01,,,,,,,,E,,,,,,D14,D1,D1,D1,D1,,,,,
01_RUSS_X,Russ,30,Writer,"San Rafael, California",5.0,1,01,,,,,,,E,,,,,,,D14,D1,D1,D1,,,,,,
01_GREG_T,Greg T.,28,Importer,"Manhattan, New York",4.0,1,01,,,,,,E,,,,,,,,D14,D5,D1,,,,,,,
01_BOB_G,Bob Guiney,31,Mortgage Broker,"Ferndale, Michigan",3.0,1,01,,,,,E,,,,,,,,,D14,D5,,,,,,,,3
01_JAMIE_B,Jamie Blyth,27,Athlete,"Chicago, Illinois",3.0,1,01,,,,,E,,,,,,,,,D14,D5,,,,,,,,
01_MIKE_X,Mike,24,Sales,"Cincinnati, Ohio",3.0,1,01,,,,,E,,,,,,,,,D14,D5,,,,,,,,
01_ROB_X,Rob,29,Computer Programmer,"Dallas, Texas",3.0,1,01,,,,,E,,,,,,,,,D14,D5,,,,,,,,
01_BRIAN_C,Brian C.,28,Mortgage Broker,"Dallas, Texas",2.0,1,01,,,,E,,,,,,,,,,D14,,,,,,,,,
01_BRIAN_S,Brian S.,28,Engineer,"Dallas, Texas",2.0,1,01,,,,E,,,,,,,,,,D14,,,,,,,,,
01_BROOK_X,Brook,29,Rodeo Cowboy,"Dallas, Texas",2.0,1,01,,,,E,,,,,,,,,,D14,,,,,,,,,
01_JACK_X,Jack,27,Firefighter,"Pepper Pike, Ohio",2.0,1,01,,,,E,,,,,,,,,,D14,,,,,,,,,
01_JEFF_X,Jeff,25,Athlete,"San Diego, California",2.0,1,01,,,,E,,,,,,,,,,D14,,,,,,,,,
01_JOSH_X,Josh,31,Advertising,"Boca Raton, Florida",2.0,1,01,,,,E,,,,,,,,,,D14,,,,,,,,,
01_BRIAN_H,Brian H.,30,Sales,"Cleveland, Ohio",2.0,1,01,,,,EQ,,,,,,,,,,D14,,,,,,,,,
01_BILLY_X,Billy,28,Firefighter,"Hermosa Beach, California",1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
01_BRIAN_K,Brian K.,31,Sales,"San Francisco, California",1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
01_CHRIS_X,Chris,35,V.P. of Auto Parts Company,"Sugarloaf, Pennsylvania",1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
01_DUANE_X,Duane,28,Flight Instructor,"Chisago City, Minnesota",1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
01_ERIC_X,Eric,33,Commercial Pilot,Missouri,1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
01_GREGG_H,Gregg H.,34,Business Owner,"Freehold, New Jersey",1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
01_MATT_X,Matt,42,Business Owner,"Marina Del Rey, California",1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
01_PAUL_X,Paul,26,Telecommunications,"Honolulu, Hawaii",1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
01_PETER_X,Peter,25,Business Owner,"Long Island, New York",1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
01_WAYNE_X,Wayne,37,Commercial Pilot,"Sacramento, California",1.0,1,01,,,E,,,,,,,,,,,,,,,,,,,,
02_IAN_M,Ian McKee,29,Sales,"New York, New York",0,2,02,,,,,,,,,W,,,,,D7,D1,D4,D1,D1,D1,,,,
02_MATTHEW_H,Matthew Hickl,28,Sales,"Friendswood, Texas",8.0,2,02,,,,,,,,,E,,,,,D7,D7,D1,D1,D1,D1,,,,
02_CHAD_X,Chad,31,Sales,"Buffalo, New York",6.0,2,02,,,,,,,,E,,,,,,D7,D7,D1,D1,D1,,,,,
02_LANNY_X,Lanny,26,Stallion and Breeding Manager,"Aubrey, Texas",5.0,2,02,,,,,,,E,,,,,,,D7,D7,D1,D1,,,,,,
02_BRAD_X,Brad,29,Sales,"Grand Rapids, Michigan",4.0,2,02,,,,,,E,,,,,,,,D7,D7,D4,,,,,,,
02_RYAN_M,Ryan M.,30,Financial Advisor,"Santa Barbara, California",4.0,2,02,,,,,,E,,,,,,,,D7,D2,D4,,,,,,,
02_SEAN_X,Sean,31,CPA,"Wall, New Jersey",4.0,2,02,,,,,,E,,,,,,,,D7,D7,D4,,,,,,,
02_RICK_X,Rick,29,Business Manager,"San Diego, California",3.0,2,02,,,,,E,,,,,,,,,D1,D7,,,,,,,,
02_RYAN_R,Ryan R.,29,Sales,"Wynola, California",3.0,2,02,,,,,E,,,,,,,,,D7,D7,,,,,,,,
02_TODD_X,Todd,36,Options Trader,"San Francisco, California",3.0,2,02,,,,,E,,,,,,,,,D7,D2,,,,,,,,
02_DAMON_X,Damon,28,Athlete,"Cardiff, California",2.0,2,02,,,,E,,,,,,,,,,D7,,,,,,,,,
02_ELIOT_X,Eliot,25,Options Trader,"Mountain View, California",2.0,2,02,,,,E,,,,,,,,,,D7,,,,,,,,,
02_HAROLD_H,Harold Hersh,29,Athlete,"Rock Island, Illinois",2.0,2,02,,,,E,,,,,,,,,,D7,,,,,,,,,
02_MARCUS_X,Marcus,26,Personal Trainer,"Los Angeles, California",2.0,2,02,,,,E,,,,,,,,,,D7,,,,,,,,,
02_ROBERT_X,Robert,32,Alliance Development,"El Segundo, California",2.0,2,02,,,,E,,,,,,,,,,D7,,,,,,,,,
02_AARON_X,Aaron,32,Sales,"Sacramento, California",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
02_ANDY_C,Andy Chang,33,Dentist,"Dallas, Texas",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
02_ANSELM_C,Anselm Clinard,32,Designer,"Venice, California",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
02_BRIAN_X,Brian,31,Attorney,"Quincy, Massachusetts",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
02_CHRIS_X,Chris,31,Accountant,"Boston, Massachusetts",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
02_CORY_H,Cory Higgins,24,Business Owner,"Long Beach Island, New Jersey",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
02_JEFF_O,Jeff O'Quinn,30,Sales,"Macon, Georgia",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
02_JUSTIN_X,Justin,25,Athlete,"Orlando, Florida",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
02_KEITH_X,Keith,31,Financial Analyst,"Baltimore, Maryland",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
02_TREVER_X,Trever,35,Restaurateur,"North Wales, Pennsylvania",1.0,2,02,,,E,,,,,,,,,,,,,,,,,,,,
04_JESSE_C,Jesse Csincsak,26,Professional snowboarder,"Breckenridge, Colorado",0,4,04,,,R1,,,R,,,,W,,,,D7,D10,D1,D4,D1,D1,D1,,,
04_JASON_M,Jason Mesnick,31,Account executive,"Cleveland, Ohio",8.0,4,04,,,,,R,,,,,E,,,,D7,D1,D6,D4,D1,D1,D1,,,13
04_JEREMY_A,Jeremy Anderson,30,Real estate attorney,"Dallas, Texas",7.0,4,04,,,R1,R,,,,,E,,,,,D7,D10,D6,D1,D1,D1,,,,
04_GRAHAM_B,Graham Bunn,29,Athlete,"Raleigh, North Carolina",6.0,4,04,A_1,B_2,,R,,,,E,,,,,,D1,D10,D6,D4,D1,,,,,
04_SEAN_R,Sean Ramey,33,Martial artist,"Louisville, Kentucky",5.0,4,04,,,,,,R,E,,,,,,,D7,D10,D6,D1,,,,,,
04_BLAINE_T,Blaine Twilley,33,Debt manager,"Tulsa, Oklahoma",5.0,4,04,,,,,,,E,,,,,,,D7,D10,D6,D4,,,,,,
04_BRIAN_W,Brian Westendorf,31,High school football coach,"Balch Springs, Texas",4.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_FREDERICK_G,"Frederick ""Fred"" Greif",30,Lawyer,"Skokie, Illinois",4.0,4,04,,,,,R,ED,,,,,,,,D7,D10,D2,,,,,,,
04_ROBERT_F,Robert Fair,28,Chef,"San Francisco, California",4.0,4,04,,,,,R,ED,,,,,,,,D7,D10,D2,,,,,,,
04_PAUL_B,Paul Brosseau,23,Sales,"Bonnyville, Alberta",3.0,4,04,,,,R,E,,,,,,,,,D7,D10,,,,,,,,
04_RONALD_M,Ronald Mayer,36,Barber shop owner,"Greeley, Colorado",3.0,4,04,,,,,E,,,,,,,,,D7,D10,,,,,,,,
04_RICHARD_M,Richard Mathy,27,Teacher,"Sauquoit, New York",3.0,4,04,,,R1,,ED,,,,,,,,,D7,D1,,,,,,,,
04_CHRISTOPHER_B,"Christopher ""Chris"" Bradshaw",29,Sales,"Fort Worth, Texas",2.0,4,04,,,,E,,,,,,,,,,D7,,,,,,,,,
04_ERIC_P,Eric Papachristos,32,Senior analyst,"Boston, Massachusetts",2.0,4,04,,,,E,,,,,,,,,,D7,,,,,,,,,
04_RYAN_H,Ryan Hoag,28,Athlete,"Minneapolis, Minnesota",2.0,4,04,,B_3,,E,,,,,,,,,,D7,,,,,,,,,
04_BRIAN_W,Brian Winchester,29,Consultant,"New Castle, Indiana",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_CHANDLER_F,Chandler Fulton,25,Insurance rep.,"Virginia Beach, Virginia",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_DONATO_C,Donato Capodanno,26,Sales,"Lexington, South Carolina",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_GREGORY_M,"Gregory ""Greg"" Matthew",28,Personal trainer,"Rockport, Massachusetts",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_JEFFREY_H,Jeffrey Harris,27,Teacher,"Miami, Florida",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_JONATHAN_K,"Jonathan ""Jon"" Konkel",35,Resort manager,"Williston, North Dakota",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_LUKE_H,Luke Hamilton,27,Oyster farmer,"Faith, North Carolina",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_PATRICK_C,Patrick Carlson,26,Financial analyst,"Glenwood, Illinois",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_PATRICK_D,Patrick Durrere,27,Internet marketing,"Elmhurst, Illinois",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
04_SPERO_S,Spero Stamboulis,38,Actor,"Ellington, Connecticut",1.0,4,04,,,E,,,,,,,,,,,,,,,,,,,,
05_ED_S,Ed Swiderski,29,Consultant,"Monroe, Michigan",0,5,05,,B_3,,,R,,,,,,,W,,D8,D1,D10,D8,,D1,D1,D1,D1,
05_KIPTYN_L,Kiptyn Locke,31,Business Developer,"Encinitas, California",10.0,5,05,,B_1,,,,R,,R,,,,E,,D7,D11,D1,D8,D6,D1,D1,D1,D1,
05_REID_R,Reid Rosenthal,30,Realtor,"Upper Dublin, Pennsylvania",9.0,5,05,,B_3,,,,,,R,,,E,,,,D11,D10,D8,D1,D1,D1,D1,,
05_WES_H,Wes Hayden,32,Musician,"Huntsville, Texas",8.0,5,05,,B_1,,R,,,,,,E,,,,D8,D11,D10,D8,D6,D1,D1,,,
05_JESSE_K,Jesse Kovacs,27,Wine Maker,"Carmel Valley, California",7.0,5,05,A_1,B_1,,,,R,R,,E,,,,,D7,,D10,D1,D6,D1,,,,
05_MICHAEL_S,Michael Stagliano,25,Break Dance Instructor,"Tacoma, Washington",7.0,5,05,,"B_2, B_3",,,,,R,,E,,,,,D8,D11,D10,D1,D6,D1,,,,
05_JAKE_P,Jake Pavelka,31,Commercial Pilot,"Denton, Texas",6.0,5,05,,B_2,,R,,,,E,,,,,,D1,,D10,D8,D6,,,,,14
05_TANNER_P,Tanner Pope,30,Financial Analyst,"Brownfield, Texas",6.0,5,05,,,,,,,,E,,,,,,D8,D11,D10,D8,D6,,,,,
05_ROBBY_D,Robby Descant,25,Bartender,"Spring, Texas",6.0,5,05,,,,,R,,,ED,,,,,,,D11,D10,D8,D1,,,,,
05_MARK_H,Mark Huebner,26,Entrepreneur,"Woodstock, Illinois",5.0,5,05,,,,,,R,E,,,,,,,D7,D11,D2,D8,,,,,,
05_DAVID_G,David Good,27,Trucking Contractor,"West Alexandria, Ohio",4.0,5,05,,B_1,R1,,,E,,,,,,,,D7,,D10,,,,,,,
05_JUAN_B,Juan Barbieri,35,General Contractor,"Buenos Aires, Argentina",4.0,5,05,,B_1,,R,,E,,,,,,,,D7,D11,D10,,,,,,,
05_MIKE_S,Mike Steinberg,28,Business Owner,"New York, New York",4.0,5,05,,,,R,,ED,,,,,,,,D7,D11,D2,,,,,,,
05_BRAD_S,Brad Seberhagen,27,Financial Advisor,"Park Ridge, Illinois",3.0,5,05,,,,,E,,,,,,,,,D8,D11,,,,,,,,
05_TANNER_F,Tanner Fanello,28,Sales,"Derby, Kansas",3.0,5,05,,,,,E,,,,,,,,,,D11,,,,,,,,
05_SASHA_P,Sasha Petrovic,27,Consultant,"Houston, Texas",3.0,5,05,,,,,ED,,,,,,,,,D8,D1,,,,,,,,
05_BRIAN_D,Brian Duke,32,Consultant,"Birmingham, Alabama",2.0,5,05,,,,E,,,,,,,,,,D8,,,,,,,,,
05_JULIEN_H,Julien Hug,34,Restaurateur,"San Diego, California",2.0,5,05,,,,E,,,,,,,,,,,,,,,,,,,
05_MATHUE_J,Mathue Johnson,25,Personal Trainer,"Andover, Kansas",2.0,5,05,,,,E,,,,,,,,,,D8,,,,,,,,,
05_SIMON_A,Simon Ambrose,26,Soccer Coach,"Bradford, England",2.0,5,05,,,,E,,,,,,,,,,D7,,,,,,,,,
05_ADAM_D,Adam Duvendeck,27,Olympic Cyclist,"Santa Barbara, California",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_BRYAN_V,Bryan Vaderman,28,High School Coach,"Lawton, Oklahoma",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_BRYCE_H,Bryce Harlow,31,Furniture Dealer,"Fort Lauderdale, Florida",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_CALEB_K,Caleb Kuhl,27,Photographer,Missouri,1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_GREG_B,Greg Bilbro,31,Entrepreneur,"Albuquerque, New Mexico",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_JOHN_H,John Hardesty,27,Consultant,"Boise, Idaho",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_JOHN_P,John Presser,29,Marketing Specialist,"Fort Wayne, Indiana",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_JOSH_Y,Josh Yocam,25,Lifeguard,"Tustin, California",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_KYLE_Y,Kyle Yauch,26,Designer,"Austin, Texas",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
05_STEPHEN_R,Stephen Reich,30,Lawyer,"Lexington, Massachusetts",1.0,5,05,,,E,,,,,,,,,,,,,,,,,,,,
06_ROBERTO_M,Roberto Martinez,26,Insurance Agent,"Tampa, Florida",0,6,06,,,R1,,R,,,,,,,W,,,D1,D7,D6,D4,D1,D1,D1,D1,
06_CHRIS_L,Chris Lambton,33,Landscaper,"Dennis, Massachusetts",10.0,6,06,,,,,,R,,,,,,ED,,,D9,D1,D6,D4,D1,D1,D1,D1,
06_FRANK_N,Frank Neuschaefer,31,Retail Manager,"Bartlett, Illinois",9.0,6,06,,,,R,,,,R,,,EF,,,D1,D9,D7,D6,D1,D2,D1,D1,,
06_KIRK_D,Kirk DeWindt,27,Sales,"Green Bay, Wisconsin",8.0,6,06,A_2,B_2,,,R,,R,,,E,,,,D12,D9,D7,D1,D4,D1,D1,,,
06_TY_B,Ty Brown,31,Sales,Missouri,7.0,6,06,,,,R,,,R,R,E,,,,,D12,,D7,D6,D1,D2,,,,
06_CRAIG_R,Craig Robinson,27,Lawyer,"Langhorne, Pennsylvania",6.0,6,06,,,,,,,,E,,,,,,D12,D9,D7,D6,D4,,,,,
06_JUSTIN_R,Justin Rego,26,Entertainment Wrestler,"Toronto, Ontario",6.0,6,06,,B_2,,,,,R,EF,,,,,,D12,D9,,D2,,,,,,
06_CHRIS_N,Chris Nordhorn,29,Entrepreneur,"Winter Park, Florida",5.0,6,06,,,,,,,E,,,,,,,D12,D9,,D6,,,,,,
06_KASEY_K,Kasey Kahl,27,Advertising,"Fresno, California",5.0,6,06,,B_2,,,,,ED,,,,,,,D12,,D1,D2,,,,,,
06_JESSE_B,Jesse Beck,24,General Contractor,Missouri,4.0,6,06,,B_1,,R,,E,,,,,,,,D1,D9,D7,,,,,,,
06_JONATHAN_N,Jonathan Novack,30,Weatherman,"Boston, Massachusetts",4.0,6,06,,B_1,,,,E,,,,,,,,D12,D9,D7,,,,,,,
06_JOHN_C,John Crivello,32,Hotel Business Development,"Mukilteo, Washington",3.0,6,06,,,,,E,,,,,,,,,,D9,,,,,,,,
06_STEVE_K,Steve Kocsis,28,Sales,"Chesterland, Ohio",3.0,6,06,,,,,E,,,,,,,,,D12,,,,,,,,,
06_HUNTER_W,Hunter Wagner,28,Internet Account Executive,"Fair Oaks Ranch, Texas",3.0,6,06,,,,,ED,,,,,,,,,D12,D1,,,,,,,,
06_CHRIS_H,Chris Hasek-Watt,27,Real Estate Developer,"Campbell River, British Columbia",2.0,6,06,,,,E,,,,,,,,,,D12,,,,,,,,,
06_CRAIG_M,Craig McKinnon,34,Sales,"Sarnia, Ontario",2.0,6,06,,B_1,,E,,,,,,,,,,D12,,,,,,,,,
06_TYLER_V,Tyler Vermette,25,Advertising,"Chelsea, Vermont",2.0,6,06,,,,E,,,,,,,,,,D12,,,,,,,,,
06_DEREK_X,Derek,28,Sales,"Warren, Michigan",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_DERRICK_S,Derrick Schuster,27,Engineer,"Manhattan Beach, California",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_JASON_W,Jason Whitehead,27,Consultant,"Johnson City, Tennessee",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
06_JAY_R,Jay Resmini,29,Lawyer,"Barrington, Rhode Island",1.0,6,06,,,E,,,,,,,,,,,,,,,,,,,,
